DR1107.PV,WRA1103.PV,WR1104.PV,FI1111.PV,FRCA1111.PV,CCSFIC1401.PV,TIC_1155.PV,AR1410B.PV,TRC1118A.PV,TI1118A.PV
228.1275,117.7087,115.346,5000.04,5000.04,189783,622.7975,86.675,676.15,676.15
227.385,117.2925,114.95,5000.04,5000.04,189794,623.0575,86.65,676.1,676.1
226.1925,116.8875,114.543,5000.04,5000.04,189805,623.3175,86.025,676.05,676.05
226.1925,116.8875,114.543,5000.04,5000.04,189805,623.3175,86.025,676.05,676.05
225.3825,116.4712,114.147,5000.04,5000.04,189816,623.5775,86.075,676.0,676.0
224.1,115.6612,113.344,5000.04,5000.04,189838,624.065,86.475,675.85,675.85
223.065,115.245,112.937,5000.04,5000.04,189849,624.325,86.675,675.8,675.8
222.3225,114.84,112.541,5000.04,5000.04,189860,624.5525,86.575,675.75,675.75
222.3225,114.84,112.541,5000.04,5000.04,189860,624.5525,86.575,675.75,675.75
220.4325,114.0187,111.738,5000.8999,5000.8999,189882,625.04,86.375,675.6,675.6
220.4325,114.0187,111.738,5000.8999,5000.8999,189882,625.04,86.375,675.6,675.6
219.465,113.6137,111.342,5000.8999,5000.8999,189904,625.3,86.375,675.55,675.55
218.0925,112.7925,110.539,5000.04,5000.04,189926,625.7875,86.65,675.45,675.45
217.44,112.3875,110.132,5000.04,5000.04,189948,626.015,86.525,675.4,675.4
217.305,111.9712,109.736,5000.04,5000.04,189959,626.2425,86.45,675.3,675.3
217.305,111.9712,109.736,5000.04,5000.04,189959,626.2425,86.45,675.3,675.3
215.6625,111.5662,109.329,5000.04,5000.04,189992,626.47,86.425,675.25,675.25
215.145,111.1612,108.933,5000.04,5000.04,190014,626.73,86.325,675.2,675.2
214.0875,110.745,108.537,5000.8999,5000.8999,190036,626.9575,86.05,675.15,675.15
213.5025,110.34,108.13,5000.8999,5000.8999,190058,627.185,86.175,675.1,675.1
211.77,109.5187,107.327,5000.8999,5000.8999,190113,627.64,86.7,674.95,674.95
211.77,109.5187,107.327,5000.8999,5000.8999,190113,627.64,86.7,674.95,674.95
211.3425,109.1137,106.931,5000.8999,5000.8999,190146,627.8675,86.275,674.9,674.9
210.285,108.7087,106.535,5000.8999,5000.8999,190179,628.095,86.25,674.85,674.85
209.0475,107.8875,105.732,5001.7598,5001.7598,190245,628.9725,86.675,674.7,674.7
207.8775,107.46,105.314,5001.7598,5001.7598,190267,629.59,86.55,674.65,674.65
206.955,107.0325,104.885,5001.7598,5001.7598,190300,630.1425,86.275,674.6,674.6
206.3025,106.605,104.467,5002.6201,5002.6201,190366,630.6625,86.0,674.5,674.5
206.3025,106.605,104.467,5002.6201,5002.6201,190366,630.6625,86.0,674.5,674.5
205.5375,106.0425,103.928,5002.6201,5002.6201,190421,631.15,86.475,674.45,674.45
