LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.3501,33.01,9.535,4.314,12.301,46.89,26.4355,14.9027,0.1791,0.2083,0.1971,540.96,84.72,85.0725,85.275,82.275,83.5725,81.9225,42.7688,521.13,20.3407,488.96
72.3514,33.01,9.539,4.3,12.301,46.632,26.342,14.9027,0.179,0.2086,0.1973,540.96,84.705,85.035,85.275,82.3275,83.5575,81.885,42.7717,521.07,20.3406,488.96
72.4033,33.015,9.543,4.282,12.301,46.338,26.221,14.9027,0.1788,0.2088,0.1976,540.88,84.6525,85.0275,85.2975,82.365,83.5425,81.9225,42.7712,521.04,20.3406,488.96
72.4052,33.015,9.549,4.261,12.301,46.08,26.0835,14.9027,0.1786,0.209,0.1979,540.88,84.6675,85.02,85.2675,82.395,83.565,81.9075,42.7783,520.95,20.3405,488.99
72.407,33.015,9.556,4.232,12.301,45.78,25.924,14.8941,0.1784,0.2094,0.1982,540.8,84.705,84.99,85.275,82.3575,83.55,81.9,42.7932,520.8,20.3404,488.99
72.4089,33.015,9.564,4.2,12.301,45.336,25.759,14.8938,0.1782,0.2098,0.1986,540.64,84.705,85.05,85.29,82.3125,83.5575,81.9075,43.0145,520.62,20.3403,488.99
72.4108,33.015,9.575,4.174,12.301,44.892,25.5555,14.8936,0.1781,0.2103,0.1991,540.44,84.705,85.0425,85.2975,82.3425,83.595,81.9075,43.2404,520.41,20.3403,488.99
72.4127,33.015,9.587,4.148,12.299,44.484,25.33,14.9019,0.1779,0.2106,0.1995,540.2,84.645,85.035,85.29,82.305,83.595,81.87,43.4708,520.17,20.3402,488.99
72.3639,33.01,9.599,4.111,12.299,44.808,25.099,14.9019,0.177,0.2104,0.1992,539.96,84.6375,85.05,85.2525,82.2525,83.6025,81.8775,43.6871,520.05,20.3401,488.99
72.3146,33.005,9.602,4.04,12.299,45.024,25.088,14.9019,0.1761,0.2101,0.199,539.84,84.6225,85.1025,85.26,82.23,83.55,81.9375,43.8852,520.08,20.34,488.99
72.3152,33.005,9.603,3.977,12.302,45.3,25.143,14.9019,0.1761,0.2099,0.1987,539.88,84.5925,85.065,85.23,82.2225,83.5125,81.96,44.0831,520.11,20.3399,488.99
72.2652,33,9.6,3.983,12.302,45.444,25.2475,14.9019,0.1769,0.2098,0.1986,539.92,84.615,85.05,85.245,82.1925,83.5125,81.93,44.2697,520.23,20.3399,488.99
72.2652,33,9.599,4.055,12.302,45.6,25.3355,14.9019,0.1781,0.2096,0.1984,540.04,84.63,85.095,85.2975,82.245,83.505,81.8925,44.4407,520.47,20.3398,488.99
72.2652,33,9.597,4.152,12.302,45.774,25.418,14.9019,0.1791,0.2095,0.1982,540.28,84.6375,85.11,85.2525,82.23,83.52,81.8925,44.6108,520.71,20.3397,488.99
72.3158,33.005,9.594,4.234,12.303,45.918,25.4895,14.9019,0.1798,0.2094,0.1981,540.52,84.6,85.14,85.29,82.2375,83.505,81.9375,44.7761,520.98,20.3396,488.99
72.367,33.01,9.591,4.295,12.303,46.038,25.5665,14.9019,0.1804,0.2092,0.198,540.84,84.6,85.1775,85.305,82.215,83.49,81.9825,44.9291,521.34,20.3396,488.99
72.3683,33.01,9.588,4.344,12.303,46.152,25.627,14.9105,0.1809,0.2091,0.1979,541.2,84.6375,85.155,85.32,82.23,83.49,82.02,45.0768,521.73,20.3395,489.02
